visitor_zip,visitorzip_lat,visitorzip_lon,qpartysize25,qpartysize50,qpartysize75,qleadt25,qleadt50,qleadt75,qdur25,qdur50,qdur75,qdist25,qdist50,qdist75,res_count,sum_dur,sum_persnight
48703,44.058286,-83.661892,1,3,5.25,0,1,36.2,1,3,6,42,42,1171.53,89,343,1178
48705,44.694039,-83.645476,1,2,2,1,19,86.5,1.2,2,4.8,235.85,1626.53,1710.47,19,76,171
48706,43.609408,-83.945174,2,3,5,1,15.5,81,2,3,4,95.31,207.42,1056.9,422,1327,5224
48707,43.5945,-83.8886,6,6,6,186,186,186,3,3,3,217.34,217.34,217.34,1,3,18
48708,43.567206,-83.822272,2,4,8,5,50,161,2,3,4,97.76,97.76,223.46,313,1123,5803
48710,43.559428,-83.984058,6,9,10,15.75,47,78.8,1,1,1.8,101.51,101.51,1946.89,11,14,172
48720,43.821988,-83.339149,2,3,3,4.75,8,16.8,1,2,3,71.85,242.92,1771.65,11,24,86
48721,44.807888,-83.349064,2,7,10,30.25,55,152.2,2,5,5.2,46.8,46.8,46.8,5,20,153
48722,43.3432,-83.843246,2,4,6,4,43.5,147,2,3,4,122.61,122.61,360.47,52,157,1033
48723,43.492277,-83.385072,2,2,4,0,3,26,2,2,4,106.52,613.62,1220.94,82,231,808
48725,43.947513,-83.221402,2.25,4,6.75,7,136,178,2,4,5,63.03,63.03,542.84,54,181,1022
48726,43.607796,-83.210288,1,2,4,0,0,43.5,1,1,2,97.74,1197.73,1501.15,64,134,456
48727,43.354156,-83.184154,2,2,2,21,21,21,1,1,1,441.45,441.45,441.45,1,1,2
48728,44.753512,-83.74839,2,2,7.75,3.75,64,169.2,2,7,13,36.72,1171.63,1560.82,27,188,1159
48729,43.495544,-83.18835,1,2.5,6,0,9.5,49,2,3,5,110.11,110.11,877.79,10,37,179
48730,44.346568,-83.477964,2,4,6,4,19,73,2,2,4,15.24,15.24,15.24,207,630,2758
48731,43.833056,-83.161454,3,4,4.25,9.25,69,118,1,1,2.2,76.47,76.47,134.01,9,15,50
48732,43.606858,-83.773683,2,4,6,4,46,170.2,2,3,4,92.83,92.83,224.17,143,456,2433
48733,43.538787,-83.573782,2,2.5,3,2.5,53,164.5,2,3.5,6,220.15,241.8,869.96,12,49,122
