,B06009_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B14005_001E,B14005_002E,B14005_003E,B14005_004E,B14005_005E,B14005_006E,B14005_007E,B14005_008E,B14005_009E,B14005_010E,B14005_011E,B14005_012E,B14005_013E,B14005_014E,B14005_015E,B14005_016E,B14005_017E,B14005_018E,B14005_019E,B14005_020E,B14005_021E,B14005_022E,B14005_023E,B14005_024E,B14005_025E,B14005_026E,B14005_027E,B14005_028E,B14005_029E,zip code tabulation area
26553,1641,389,536,531,100,85,178,98,96,27,0,69,2,2,0,0,2,0,0,0,0,80,75,18,0,57,5,5,0,0,5,0,0,0,0,76665
26554,124,26,42,30,22,4,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,3,2,0,1,0,0,0,0,0,0,0,0,0,76666
26555,7480,1441,2704,2364,743,228,744,329,267,18,32,217,62,51,16,0,35,11,3,0,8,415,323,142,40,141,92,23,14,7,2,69,0,1,68,76667
26556,869,167,324,282,87,9,92,25,14,0,0,14,11,5,5,0,0,6,0,6,0,67,57,10,0,47,10,0,0,0,0,10,0,4,6,76670
26557,1526,297,542,545,92,50,111,33,33,6,12,15,0,0,0,0,0,0,0,0,0,78,46,16,6,24,32,32,32,0,0,0,0,0,0,76671
26558,921,219,321,280,60,41,40,27,14,3,2,9,13,8,3,4,1,5,5,0,0,13,7,0,5,2,6,6,6,0,0,0,0,0,0,76673
26559,265,62,87,95,18,3,14,9,3,3,0,0,6,6,0,0,6,0,0,0,0,5,2,0,0,2,3,3,3,0,0,0,0,0,0,76676
26560,166,36,22,81,26,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,76678
26561,899,128,376,269,87,39,85,37,37,15,4,18,0,0,0,0,0,0,0,0,0,48,48,0,0,48,0,0,0,0,0,0,0,0,0,76679
26562,278,31,174,27,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76680
